DATETIME,MACD_MAIN,MACD_SIGNAL,AWESOME,STO_MAIN,STO_SIGNAL,PRICE
2022.09.27 10:52,6.56,4.25,13.25,94.68,91.64,5367.00
2022.09.27 10:53,6.34,4.73,14.14,76.34,85.38,5363.50
2022.09.27 10:54,6.28,5.12,14.50,61.73,74.44,5363.50
2022.09.27 10:55,7.11,5.59,15.49,81.94,77.11,5370.00
2022.09.27 10:56,6.92,5.93,14.77,75.00,74.03,5367.50
2022.09.27 10:57,6.52,6.20,13.69,50.00,64.03,5365.00
2022.09.27 10:58,5.91,6.32,12.77,27.27,46.27,5362.50
2022.09.27 10:59,5.83,6.31,12.81,25.37,45.64,5361.50
2022.09.27 11:00,5.00,6.18,10.08,15.87,19.14,5361.50
2022.09.27 11:01,6.83,6.38,13.06,76.84,48.08,5377.00
2022.09.27 11:02,7.02,6.45,14.56,87.50,70.29,5376.00
2022.09.27 11:03,7.88,6.61,17.75,89.84,84.26,5381.00
2022.09.27 11:04,8.16,6.65,18.31,88.41,83.78,5384.50
2022.09.27 11:05,8.21,6.79,21.29,83.01,87.39,5379.00
2022.09.27 11:06,8.10,7.15,22.00,52.43,68.78,5379.50
2022.09.27 11:07,7.90,7.13,21.91,47.57,67.16,5377.00
2022.09.27 11:08,7.33,7.54,18.44,12.70,27.50,5377.50
2022.09.27 11:09,7.59,7.73,17.95,42.86,30.69,5381.50
2022.09.27 11:10,7.81,7.88,18.42,73.68,50.51,5384.00
2022.09.27 11:11,7.43,7.86,17.59,63.33,60.28,5382.00
2022.09.27 11:12,6.43,7.62,15.80,22.58,45.05,5377.00
2022.09.27 11:13,5.96,7.37,14.43,9.52,26.00,5377.50
2022.09.27 11:14,5.24,7.02,11.35,8.96,13.04,5375.50
2022.09.27 11:15,4.34,6.60,8.08,9.46,8.87,5372.50
2022.09.27 11:16,3.71,6.16,5.83,11.11,10.46,5372.00
2022.09.27 11:17,3.78,5.77,4.74,42.11,25.00,5376.50
2022.09.27 11:18,3.54,5.29,4.06,68.09,44.14,5376.50
2022.09.27 11:19,3.14,5.24,3.67,46.81,37.05,5371.50
2022.09.27 11:20,2.56,4.68,2.63,35.71,41.54,5371.00
2022.09.27 11:21,2.20,4.15,2.01,22.22,34.92,5372.50
2022.09.27 11:22,1.39,3.13,-0.56,23.40,22.85,5371.00
2022.09.27 11:23,0.42,2.58,-2.77,8.93,16.68,5366.00
2022.09.27 11:24,0.02,2.11,-3.79,13.56,14.67,5366.50
2022.09.27 11:25,-0.12,1.66,-4.67,31.48,21.25,5368.00
2022.09.27 11:26,-0.32,1.20,-5.82,49.15,35.12,5368.00
2022.09.27 11:27,-0.41,0.81,-6.08,64.81,50.62,5368.50
2022.09.27 11:28,-0.00,0.56,-4.93,84.75,68.53,5372.00
2022.09.27 11:29,0.05,0.32,-4.30,90.32,81.22,5371.50
2022.09.27 11:30,0.21,0.15,-3.33,91.23,88.83,5372.50
2022.09.27 11:31,-0.23,-0.02,-3.46,56.25,74.68,5369.00
2022.09.27 11:32,-0.70,-0.18,-4.71,27.78,51.81,5366.50
2022.09.27 11:33,-1.34,-0.37,-6.73,13.85,29.35,5363.00
2022.09.27 11:34,-1.93,-0.59,-8.38,9.09,14.85,5361.00
2022.09.27 11:35,-2.69,-0.88,-10.81,8.14,9.84,5358.00
2022.09.27 11:36,-3.25,-1.24,-12.24,7.23,7.46,5356.50
2022.09.27 11:37,-3.73,-1.67,-13.18,6.76,6.49,5355.50
2022.09.27 11:38,-3.72,-2.08,-13.24,20.00,12.23,5357.50
2022.09.27 11:39,-2.95,-2.35,-11.63,66.67,38.26,5363.00
2022.09.27 11:40,-2.30,-2.53,-9.58,94.29,66.91,5366.00
2022.09.27 11:44,-1.43,-2.54,-3.40,69.64,69.46,5366.00
2022.09.27 11:45,-2.32,-2.50,-4.96,21.82,45.00,5358.00
2022.09.27 11:46,-1.78,-2.25,-4.41,36.21,40.75,5362.50
2022.09.27 11:47,-2.18,-2.17,-4.91,28.07,30.16,5359.00
2022.09.27 11:48,-2.26,-2.18,-5.17,30.65,31.02,5358.00
2022.09.27 11:49,-2.74,-2.19,-6.76,13.85,19.88,5355.50
2022.09.27 11:50,-2.66,-2.18,-6.68,18.18,21.33,5356.50
2022.09.27 11:51,-2.65,-2.30,-6.98,31.91,22.91,5357.50
2022.09.27 11:52,-2.98,-2.46,-7.16,15.79,18.57,5354.50
2022.09.27 11:53,-3.09,-2.56,-7.31,20.51,21.87,5354.00
2022.09.27 11:54,-2.74,-2.63,-6.52,50.00,35.71,5357.00
2022.09.27 11:55,-2.63,-2.70,-6.02,59.52,46.83,5357.00
2022.09.27 11:56,-2.79,-2.71,-6.23,50.00,43.65,5355.00
2022.09.27 11:57,-2.47,-2.75,-5.43,51.22,51.20,5356.50
2022.09.27 11:58,-2.73,-2.78,-5.68,39.13,44.90,5353.50
2022.09.27 11:59,-2.53,-2.75,-5.59,50.00,48.52,5356.00
2022.09.27 12:00,-2.39,-2.68,-5.22,47.92,47.22,5355.00
2022.09.27 12:01,-2.43,-2.68,-5.39,45.83,46.53,5354.50
2022.09.27 12:02,-2.22,-2.60,-4.86,47.92,45.83,5356.50
2022.09.27 12:03,-1.67,-2.37,-2.74,71.11,58.82,5358.00
2022.09.27 12:04,-2.04,-2.32,-3.22,38.10,49.63,5353.50
2022.09.27 12:05,-1.77,-2.21,-2.39,34.21,45.05,5355.50
2022.09.27 12:06,-1.69,-2.20,-2.34,39.47,46.81,5356.50
2022.09.27 12:07,-1.91,-2.04,-2.86,18.92,30.28,5353.00
2022.09.27 12:08,-2.22,-2.03,-3.69,8.70,20.06,5351.00
2022.09.27 12:09,-2.10,-2.02,-3.43,15.22,22.23,5352.50
2022.09.27 12:10,-2.11,-1.97,-4.35,32.56,24.26,5352.00
2022.09.27 12:11,-2.14,-1.99,-4.87,30.77,29.44,5351.50
2022.09.27 12:12,-1.99,-1.98,-4.64,40.63,36.36,5352.50
2022.09.27 12:13,-1.68,-1.94,-3.91,68.97,52.13,5354.00
2022.09.27 12:14,-1.29,-1.88,-2.84,87.88,71.46,5355.50
2022.09.27 12:15,-1.29,-1.88,-3.01,87.88,71.46,5355.50
2022.09.27 12:16,-1.04,-1.69,-1.25,71.88,80.10,5355.00
2022.09.27 12:17,-0.60,-1.51,-0.18,78.79,78.83,5357.50
2022.09.27 12:18,-0.79,-1.53,-0.52,63.64,73.78,5355.00
2022.09.27 12:19,-0.80,-1.38,-0.18,48.39,63.06,5354.00
2022.09.27 12:20,-0.88,-1.12,-0.21,10.00,26.13,5353.50
2022.09.27 12:21,-1.04,-1.13,-0.43,13.89,27.43,5351.50
2022.09.27 12:22,-0.93,-0.97,-1.16,39.13,26.62,5353.50
2022.09.27 12:23,0.64,-0.66,1.32,86.67,59.14,5364.50
2022.09.27 12:24,1.20,-0.40,3.25,87.76,77.99,5364.50
2022.09.27 12:25,1.86,-0.08,5.94,90.29,87.83,5366.00
2022.09.27 12:26,2.70,0.34,9.21,95.33,92.63,5369.50
2022.09.27 12:27,3.00,0.75,10.62,86.67,90.03,5368.50
