DATETIME,MACD_MAIN,MACD_SIGNAL,AWESOME,STO_MAIN,STO_SIGNAL,PRICE
2022.10.03 09:42,618.25,771.48,1403.44,8.84,12.21,114130.00
2022.10.03 09:44,584.59,736.59,1288.38,16.95,13.68,114170.00
2022.10.03 09:46,552.60,700.98,1184.38,44.19,26.04,114195.00
2022.10.03 09:48,516.14,664.00,1066.31,47.14,34.90,114170.00
2022.10.03 09:50,502.35,629.88,991.35,77.97,60.85,114305.00
2022.10.03 09:52,467.09,594.33,892.15,63.76,64.75,114230.00
2022.10.03 09:54,415.51,556.76,760.31,17.37,41.57,114065.00
2022.10.03 09:56,377.85,520.56,631.32,8.67,24.38,114045.00
2022.10.03 09:58,385.03,521.36,638.15,17.86,27.44,114135.00
2022.10.03 10:00,343.75,457.76,406.76,55.33,36.47,114215.00
2022.10.03 10:02,339.13,431.29,328.97,83.58,61.34,114325.00
2022.10.03 10:04,361.93,412.67,347.44,88.72,78.34,114585.00
2022.10.03 10:06,341.35,390.99,297.31,72.46,78.55,114455.00
2022.10.03 10:08,301.18,367.58,194.74,41.36,61.50,114255.00
2022.10.03 10:10,295.99,346.48,191.91,16.21,38.64,114185.00
2022.10.03 10:12,229.32,325.00,103.99,14.71,23.54,114075.00
2022.10.03 10:14,217.52,307.32,44.34,28.21,22.26,114185.00
2022.10.03 10:16,215.80,291.91,37.49,55.05,36.76,114300.00
2022.10.03 10:18,229.54,279.84,94.25,78.57,57.93,114475.00
2022.10.03 10:20,195.03,259.53,96.74,56.03,60.44,114255.00
2022.10.03 10:22,173.78,239.38,103.81,30.55,49.76,114210.00
2022.10.03 10:24,160.48,221.19,93.53,19.10,34.89,114230.00
2022.10.03 10:26,156.57,206.28,59.82,28.19,29.00,114300.00
2022.10.03 10:28,136.74,191.82,11.87,28.37,25.79,114225.00
2022.10.03 10:30,99.61,174.88,-50.35,21.19,22.60,114050.00
2022.10.03 10:32,51.25,153.52,-142.82,8.76,15.68,113840.00
2022.10.03 10:34,-2.68,125.88,-261.29,4.68,9.06,113640.00
2022.10.03 10:36,-10.10,102.62,-314.21,20.44,13.99,113800.00
2022.10.03 10:38,-6.70,81.71,-324.90,47.34,28.94,113935.00
2022.10.03 10:40,-17.04,60.02,-328.37,62.89,45.01,113900.00
2022.10.03 10:42,-4.38,42.28,-266.04,87.50,67.51,114030.00
2022.10.03 10:44,-4.34,25.02,-225.78,89.87,81.21,114015.00
2022.10.03 10:46,42.61,19.08,-113.44,96.25,92.07,114340.00
2022.10.03 10:48,74.54,19.14,-0.51,98.48,96.77,114455.00
2022.10.03 10:50,74.25,22.36,69.82,83.90,90.36,114335.00
2022.10.03 10:52,77.83,22.75,61.29,86.10,91.10,114380.00
2022.10.03 10:54,109.04,44.40,201.26,91.15,87.39,114490.00
2022.10.03 10:56,136.21,61.74,264.07,78.19,81.91,114615.00
2022.10.03 10:58,146.01,78.62,293.31,69.15,76.47,114600.00
2022.10.03 11:00,154.46,96.44,338.49,66.39,71.23,114615.00
2022.10.03 11:02,197.88,118.47,438.35,82.17,75.97,114890.00
2022.10.03 11:04,175.55,115.99,413.62,66.57,70.77,114610.00
2022.10.03 11:06,183.10,143.51,402.47,46.00,57.93,114715.00
2022.10.03 11:08,181.70,154.96,422.62,47.64,51.40,114710.00
2022.10.03 11:10,199.95,167.87,438.82,68.05,57.31,114855.00
2022.10.03 11:12,209.67,178.34,460.76,87.91,72.49,114905.00
2022.10.03 11:14,196.62,184.17,474.26,62.50,68.60,114800.00
2022.10.03 11:16,214.76,193.18,514.28,74.89,74.64,114970.00
2022.10.03 11:18,229.23,199.85,558.28,80.56,76.75,115060.00
2022.10.03 11:20,245.76,208.54,595.24,87.55,82.43,115155.00
2022.10.03 11:22,250.77,216.34,616.12,92.74,89.15,115160.00
2022.10.03 11:24,250.42,223.86,647.66,91.04,90.57,115155.00
2022.10.03 11:26,242.34,228.92,636.72,77.99,86.00,115120.00
2022.10.03 11:28,254.44,235.73,648.19,76.92,82.38,115250.00
2022.10.03 11:30,241.67,239.55,625.82,58.55,69.40,115175.00
2022.10.03 11:32,239.57,243.21,622.22,53.38,60.88,115215.00
2022.10.03 11:34,232.38,244.28,607.06,54.61,56.63,115215.00
2022.10.03 11:36,265.81,250.03,654.03,86.26,71.04,115505.00
2022.10.03 11:38,260.22,249.41,642.94,79.25,68.71,115440.00
2022.10.03 11:40,273.78,254.59,651.32,90.09,86.35,115550.00
2022.10.03 11:42,282.95,259.13,679.85,96.06,92.01,115610.00
2022.10.03 11:44,273.96,260.92,661.26,84.68,88.63,115545.00
2022.10.03 11:46,288.35,266.72,672.96,87.31,89.28,115695.00
2022.10.03 11:48,291.14,267.03,668.26,89.26,89.93,115725.00
2022.10.03 11:50,263.91,273.34,609.06,55.56,73.90,115550.00
2022.10.03 11:52,262.71,273.20,615.46,53.97,73.37,115535.00
2022.10.03 11:54,262.20,274.35,561.16,65.54,54.12,115735.00
2022.10.03 11:56,260.32,273.53,536.18,89.23,66.63,115750.00
2022.10.03 11:58,257.06,271.27,525.19,84.47,79.42,115765.00
2022.10.03 12:00,247.10,267.64,514.16,77.06,81.90,115740.00
2022.10.03 12:02,245.90,263.68,522.81,73.33,78.13,115800.00
2022.10.03 12:04,222.16,255.00,474.31,43.02,61.11,115685.00
2022.10.03 12:06,181.97,242.78,371.25,9.55,36.09,115495.00
2022.10.03 12:08,173.01,233.65,323.96,23.75,26.25,115585.00
2022.10.03 12:10,166.25,223.29,277.96,41.30,29.15,115645.00
2022.10.03 12:12,168.75,213.53,257.34,66.08,47.54,115740.00
2022.10.03 12:14,164.76,213.08,250.51,61.67,46.08,115690.00
2022.10.03 12:16,142.56,188.47,236.63,56.98,62.43,115655.00
2022.10.03 12:18,115.97,172.35,188.76,25.58,47.08,115540.00
2022.10.03 12:20,88.89,155.21,112.47,7.33,26.15,115450.00
2022.10.03 12:22,67.43,139.35,29.15,21.46,20.12,115420.00
2022.10.03 12:24,56.68,124.85,-20.43,34.29,24.33,115455.00
2022.10.03 12:26,36.85,108.70,-70.65,32.06,28.44,115390.00
2022.10.03 12:28,26.77,92.54,-90.57,36.97,33.28,115405.00
2022.10.03 12:30,9.54,74.76,-108.22,27.48,30.22,115350.00
2022.10.03 12:32,11.39,59.70,-112.50,47.37,38.92,115435.00
2022.10.03 12:34,17.30,47.43,-101.72,77.24,57.43,115505.00
2022.10.03 12:36,13.03,36.48,-101.74,70.80,65.42,115470.00
2022.10.03 12:38,-3.03,25.64,-113.74,33.58,53.04,115370.00
2022.10.03 12:40,-7.91,17.05,-119.60,17.42,35.74,115380.00
2022.10.03 12:42,-29.32,6.96,-170.88,11.43,20.16,115255.00
2022.10.03 12:44,-23.74,7.58,-162.78,19.43,22.83,115325.00
2022.10.03 12:46,-33.79,-6.13,-218.29,33.75,25.57,115310.00
2022.10.03 12:48,-35.70,-11.77,-231.26,45.26,35.12,115315.00
2022.10.03 12:50,-29.24,-16.38,-210.82,75.63,55.17,115375.00
2022.10.03 12:52,-8.91,-17.87,-154.56,92.73,75.34,115505.00
2022.10.03 12:54,11.32,-16.34,-87.97,89.96,86.65,115590.00
